chunk,river,survey_id,date
2022-1,LM,LM_18_FRI_20220303_CS_679_WAL_SORT,2022-03-03
2022-1,LM,LM_18_FRI_20220303_CS_686_MHO_SORT,2022-03-03
2022-1,LM,LM_15_CVB_20220325_CS_6170_615,2022-03-25
2022-1,LM,LM_15_CVB_20220325_CS_MB_5982_5987,2022-03-25
2022-1,LM,LM_15_CVB_20220325_CS_MB_5986_5982,2022-03-25
2022-1,LM,LM_15_CVB_20220326_CS_6150_6114,2022-03-26
2022-1,LM,LM_15_CVB_20220326_CS_MB_5987_5972,2022-03-26
2022-1,LM,LM_15_CVB_20220327_CS_6114_6078,2022-03-27
2022-1,LM,LM_15_CVB_20220327_CS_MB_5967_5938,2022-03-27
2022-1,LM,LM_15_CVB_20220327_CS_MB_5972_5967,2022-03-27
2022-1,LM,LM_15_CVB_20220328_CS_MB_5962_5958,2022-03-28
2022-1,LM,LM_23_OSCX_20220328_CS_811_817_SORT_LWRP,2022-03-28
2022-1,LM,LM_15_CVB_20220329_CS_MB_5958_5953,2022-03-29
2022-1,LM,LM_25_MADX_20220329_CS_898_902_SORT_LWRP,2022-03-29
2022-1,LM,LM_15_CVB_20220331_CS_MB_5953_5948,2022-03-31
2022-1,LM,LM_25_MADX_20220331_CS_917_904_SORT_LWRP,2022-03-31
2022-1,LM,LM_15_CVB_20220402_CS_MB_5948_5943,2022-04-02
2022-1,LM,LM_15_CVB_20220403_CS_MB_5943_5938,2022-04-03
2022-1,LM,LM_26_HIK_20220403_CS_951_949_SORT,2022-04-03
2022-1,LM,LM_08_MVF_20220404_CS_MB_4950_4947,2022-04-04
2022-1,LM,LM_08_MVF_20220405_CS_MB_4942_4937,2022-04-05
2022-1,LM,LM_08_MVF_20220405_CS_MB_4947_4942,2022-04-05
2022-1,LM,LM_19_MEMX_20220405_CS_739_746_SORT_LWRP,2022-04-05
2022-1,LM,LM_08_MVF_20220406_CS_MB_4937_4932,2022-04-06
2022-1,LM,LM_08_MVF_20220407_CS_MB_4932_4927,2022-04-07
2022-1,LM,LM_15_CVB_20220407_CS_6082_6036,2022-04-07
2022-1,LM,LM_08_MVF_20220408_CS_MB_4927_4923,2022-04-08
2022-1,LM,LM_15_CVB_20220408_CS_6034_5990,2022-04-08
2022-1,LM,LM_19_MEMX_20220408_CS_739_733_SORT_LWRP,2022-04-08
2022-1,LM,LM_08_MVF_20220409_CS_MB_4923_4917,2022-04-09
2022-1,LM,LM_15_CVB_20220409_CS_5990_5984_ALL,2022-04-09
