,MileMarker,thresh_el,LAT,LON
190,419.0,42.76538131596676,32.120115,-91.042976
191,420.0,43.034919155625424,32.121219,-91.026219
192,421.0,43.304456995284085,32.129705,-91.012594
193,422.0,43.57399483494274,32.142815,-91.005481
194,423.0,43.84353267460139,32.157143,-91.002789
195,424.0,44.11307051426005,32.171499,-91.00041
196,425.0,44.38260835391871,32.185883,-90.997341
197,426.0,44.652146193577366,32.199592,-90.991719
198,427.0,44.92168403323602,32.213344,-90.98614
199,428.0,45.19122187289468,32.227743,-90.984848
200,429.0,45.46075971255334,32.241641,-90.981837
201,430.0,45.730297552211994,32.254303,-90.9733
202,431.0,45.99983539187065,32.266101,-90.963198
203,432.0,46.26937323152931,32.276658,-90.951717
204,433.0,46.53891107118797,32.286017,-90.938616
205,434.0,46.80844891084662,32.295262,-90.925412
206,435.0,47.077986750505275,32.305354,-90.91277
207,436.0,47.660995901639346,32.317297,-90.903148
208,437.0,47.97446721311476,32.3313,-90.901117
209,438.0,48.28793852459017,32.34114,-90.913197
210,439.0,48.60140983606557,32.345289,-90.929577
211,440.0,48.91488114754098,32.3472,-90.946452
212,441.0,49.22835245901639,32.348696,-90.963235
213,442.0,49.5418237704918,32.349538,-90.980252
214,443.0,49.85529508196721,32.353003,-90.996762
215,444.0,50.168766393442624,32.364377,-91.006529
216,445.0,50.482237704918035,32.377943,-91.001057
217,446.0,50.795709016393445,32.391393,-90.994846
218,447.0,51.109180327868856,32.405679,-90.993977
219,448.0,51.42265163934426,32.418176,-91.002386
220,449.0,51.73612295081967,32.427169,-91.01572
221,450.0,52.04959426229508,32.432665,-91.031469
222,451.0,52.36306557377049,32.436057,-91.048009
223,452.0,52.6765368852459,32.441003,-91.064312
224,453.0,52.99000819672131,32.448098,-91.07878
225,454.0,53.30347950819672,32.456551,-91.092809
226,455.0,53.61695081967213,32.466762,-91.105052
227,456.0,53.93042213114754,32.478599,-91.114744
228,457.0,54.24389344262295,32.492689,-91.118625
229,458.0,54.55736475409836,32.506874,-91.11514
230,459.0,54.87083606557377,32.519294,-91.106309
231,460.0,55.18430737704918,32.532431,-91.099672
232,461.0,55.49777868852459,32.546948,-91.09862
233,462.0,55.81125,32.560985,-91.10231
234,463.0,56.12472131147541,32.573601,-91.110949
235,464.0,56.43819262295082,32.583424,-91.123554
236,465.0,56.751663934426226,32.593156,-91.13632
