x,y,vessel_count
628195.4331893444,3429505.905745316,84
628195.4331893444,3429580.905745316,24
628195.4331893444,3457180.905745316,4
628195.4331893444,3457255.905745316,11
628195.4331893444,3457330.905745316,42
628195.4331893444,3457405.905745316,72
628195.4331893444,3457480.905745316,114
628195.4331893444,3457555.905745316,156
628195.4331893444,3457630.905745316,172
628195.4331893444,3457705.905745316,175
628195.4331893444,3457780.905745316,170
628195.4331893444,3457855.905745316,162
628195.4331893444,3457930.905745316,137
628195.4331893444,3458005.905745316,93
628195.4331893444,3458080.905745316,59
628195.4331893444,3458155.905745316,43
628195.4331893444,3458230.905745316,25
628195.4331893444,3458305.905745316,27
628195.4331893444,3458380.905745316,25
628195.4331893444,3458455.905745316,46
628195.4331893444,3458530.905745316,69
628195.4331893444,3458605.905745316,83
628195.4331893444,3458680.905745316,102
628195.4331893444,3458755.905745316,129
628195.4331893444,3458830.905745316,168
628195.4331893444,3458905.905745316,131
628195.4331893444,3458980.905745316,194
628195.4331893444,3459055.905745316,182
628195.4331893444,3459130.905745316,147
628195.4331893444,3459205.905745316,74
628195.4331893444,3459280.905745316,46
628195.4331893444,3459355.905745316,13
628195.4331893444,3459430.905745316,4
628270.4331893444,3423505.905745316,1
628270.4331893444,3423655.905745316,2
628270.4331893444,3423730.905745316,5
628270.4331893444,3423805.905745316,13
628270.4331893444,3423880.905745316,17
628270.4331893444,3423955.905745316,49
628270.4331893444,3424030.905745316,91
628270.4331893444,3424105.905745316,93
628270.4331893444,3424180.905745316,119
628270.4331893444,3424255.905745316,118
628270.4331893444,3424330.905745316,112
628270.4331893444,3424405.905745316,102
628270.4331893444,3424480.905745316,84
628270.4331893444,3424555.905745316,58
628270.4331893444,3424630.905745316,34
628270.4331893444,3424705.905745316,11
628270.4331893444,3424780.905745316,7
628270.4331893444,3424930.905745316,3
628270.4331893444,3425155.905745316,1
628270.4331893444,3427405.905745316,1
628270.4331893444,3427480.905745316,5
628270.4331893444,3427555.905745316,8
628270.4331893444,3427630.905745316,9
628270.4331893444,3427705.905745316,12
628270.4331893444,3427780.905745316,14
628270.4331893444,3427930.905745316,1
628270.4331893444,3429205.905745316,4
628270.4331893444,3429280.905745316,49
628270.4331893444,3429355.905745316,123
628270.4331893444,3429430.905745316,214
628270.4331893444,3429505.905745316,159
628270.4331893444,3429580.905745316,96
628270.4331893444,3429655.905745316,22
628270.4331893444,3456955.905745316,1
628270.4331893444,3457030.905745316,1
628270.4331893444,3457105.905745316,12
628270.4331893444,3457180.905745316,36
628270.4331893444,3457255.905745316,94
628270.4331893444,3457330.905745316,98
628270.4331893444,3457405.905745316,159
628270.4331893444,3457480.905745316,148
628270.4331893444,3457555.905745316,147
628270.4331893444,3457630.905745316,128
628270.4331893444,3457705.905745316,86
628270.4331893444,3457780.905745316,50
628270.4331893444,3457855.905745316,24
628270.4331893444,3457930.905745316,10
628270.4331893444,3458005.905745316,16
628270.4331893444,3458080.905745316,4
628270.4331893444,3458155.905745316,4
628270.4331893444,3458230.905745316,10
628270.4331893444,3458305.905745316,4
628270.4331893444,3458380.905745316,5
628270.4331893444,3458455.905745316,4
628270.4331893444,3458530.905745316,5
628270.4331893444,3458605.905745316,5
628270.4331893444,3458680.905745316,8
628270.4331893444,3458755.905745316,24
628270.4331893444,3458830.905745316,51
628270.4331893444,3458905.905745316,75
628270.4331893444,3458980.905745316,93
628270.4331893444,3459055.905745316,133
628270.4331893444,3459130.905745316,150
628270.4331893444,3459205.905745316,188
628270.4331893444,3459280.905745316,158
628270.4331893444,3459355.905745316,104
628270.4331893444,3459430.905745316,32
628270.4331893444,3459505.905745316,11
628270.4331893444,3459580.905745316,5
628345.4331893444,3423205.905745316,1
628345.4331893444,3423505.905745316,2
628345.4331893444,3423580.905745316,4
628345.4331893444,3423655.905745316,13
628345.4331893444,3423730.905745316,25
628345.4331893444,3423805.905745316,43
628345.4331893444,3423880.905745316,79
628345.4331893444,3423955.905745316,114
628345.4331893444,3424030.905745316,111
628345.4331893444,3424105.905745316,100
628345.4331893444,3424180.905745316,114
628345.4331893444,3424255.905745316,82
628345.4331893444,3424330.905745316,87
628345.4331893444,3424405.905745316,58
628345.4331893444,3424480.905745316,16
628345.4331893444,3424555.905745316,5
628345.4331893444,3424630.905745316,2
628345.4331893444,3424705.905745316,1
628345.4331893444,3424780.905745316,1
628345.4331893444,3427480.905745316,1
628345.4331893444,3427555.905745316,4
628345.4331893444,3427630.905745316,10
628345.4331893444,3427705.905745316,11
628345.4331893444,3427780.905745316,20
628345.4331893444,3427855.905745316,19
628345.4331893444,3427930.905745316,1
628345.4331893444,3429280.905745316,4
