x,y,vessel_count
627895.4331893444,3429355.905745316,12
627895.4331893444,3429430.905745316,1
627895.4331893444,3457930.905745316,2
627895.4331893444,3458005.905745316,4
627895.4331893444,3458080.905745316,5
627895.4331893444,3458155.905745316,1
627895.4331893444,3458230.905745316,2
627895.4331893444,3458305.905745316,2
627895.4331893444,3458380.905745316,3
627895.4331893444,3458455.905745316,1
627895.4331893444,3458530.905745316,1
627895.4331893444,3458605.905745316,1
627895.4331893444,3458755.905745316,1
627895.4331893444,3458830.905745316,1
627970.4331893444,3424030.905745316,1
627970.4331893444,3424105.905745316,2
627970.4331893444,3424255.905745316,4
627970.4331893444,3424330.905745316,9
627970.4331893444,3424405.905745316,7
627970.4331893444,3424480.905745316,18
627970.4331893444,3424555.905745316,26
627970.4331893444,3424630.905745316,37
627970.4331893444,3424705.905745316,55
627970.4331893444,3424780.905745316,109
627970.4331893444,3424855.905745316,107
627970.4331893444,3424930.905745316,132
627970.4331893444,3425005.905745316,123
627970.4331893444,3425080.905745316,131
627970.4331893444,3425155.905745316,103
627970.4331893444,3425230.905745316,99
627970.4331893444,3425305.905745316,69
627970.4331893444,3425380.905745316,67
627970.4331893444,3425455.905745316,45
627970.4331893444,3425530.905745316,19
627970.4331893444,3425605.905745316,26
627970.4331893444,3425680.905745316,22
627970.4331893444,3425755.905745316,12
627970.4331893444,3425830.905745316,10
627970.4331893444,3425905.905745316,3
627970.4331893444,3425980.905745316,1
627970.4331893444,3426280.905745316,1
627970.4331893444,3426355.905745316,1
627970.4331893444,3426730.905745316,2
627970.4331893444,3426805.905745316,2
627970.4331893444,3426880.905745316,3
627970.4331893444,3426955.905745316,10
627970.4331893444,3427030.905745316,7
627970.4331893444,3427105.905745316,9
627970.4331893444,3427180.905745316,10
627970.4331893444,3427255.905745316,24
627970.4331893444,3427330.905745316,14
627970.4331893444,3427405.905745316,5
627970.4331893444,3427480.905745316,2
627970.4331893444,3428755.905745316,4
627970.4331893444,3428830.905745316,9
627970.4331893444,3428905.905745316,36
627970.4331893444,3428980.905745316,96
627970.4331893444,3429055.905745316,155
627970.4331893444,3429130.905745316,158
627970.4331893444,3429205.905745316,120
627970.4331893444,3429280.905745316,70
627970.4331893444,3429355.905745316,36
627970.4331893444,3429430.905745316,2
627970.4331893444,3429505.905745316,2
627970.4331893444,3457780.905745316,2
627970.4331893444,3457855.905745316,8
627970.4331893444,3457930.905745316,13
627970.4331893444,3458005.905745316,10
627970.4331893444,3458080.905745316,29
627970.4331893444,3458155.905745316,29
627970.4331893444,3458230.905745316,43
627970.4331893444,3458305.905745316,37
627970.4331893444,3458380.905745316,37
627970.4331893444,3458455.905745316,26
627970.4331893444,3458530.905745316,18
627970.4331893444,3458605.905745316,17
627970.4331893444,3458680.905745316,12
627970.4331893444,3458755.905745316,8
627970.4331893444,3458830.905745316,6
