file,flipped_at
LM_06_MBV_20150814_CS_MB_4367_4372,2026-09-21T20:51:39.948226+00:00
LM_06_MBV_20150817_CS_MB_4362_4367,2026-09-21T20:51:39.948226+00:00
LM_06_MBV_20150817_CS_MB_4357_4362,2026-09-21T20:51:39.948226+00:00
LM_06_MBV_20150818_CS_MB_4352_4357,2026-09-21T20:51:39.948226+00:00
LM_06_MBV_20150818_CS_MB_4347_4352,2026-09-21T20:51:39.948226+00:00
LM_05_VGG_20150819_CS_4336_4350,2026-09-21T20:51:39.948226+00:00
LM_05_VGG_20150820_CS_4300_4334,2026-09-21T20:51:39.948226+00:00
LM_05_VGG_20150821_CS_4276_4350,2026-09-21T20:51:39.948226+00:00
LM_05_VGG_20150822_CS_4222_4274,2026-09-21T20:51:39.948226+00:00
LM_05_VGG_20150823_CS_4176_4220,2026-09-21T20:51:39.948226+00:00
LM_05_VGG_20150825_CS_4106_4140,2026-09-21T20:51:39.948226+00:00
LM_05_VGG_20150826_CS_4076_4104,2026-09-21T20:51:39.948226+00:00
LM_04_GGK_20150822_CS_4048_4076,2026-09-21T20:51:39.948226+00:00
LM_04_GGK_20150823_CS_3996_4046,2026-09-21T20:51:39.948226+00:00
LM_04_GGK_20150824_CS_3936_3994,2026-09-21T20:51:39.948226+00:00
LM_04_GGK_20150825_CS_3908_3934,2026-09-21T20:51:39.948226+00:00
LM_04_GGK_20150826_CS_3862_3906,2026-09-21T20:51:39.948226+00:00
LM_04_GGK_20150827_CS_3820_3860,2026-09-21T20:51:39.948226+00:00
LM_03_KGC_20150903_CS_3778_3820,2026-09-21T20:51:39.948226+00:00
LM_03_KGC_20150904_CS_3742_3776,2026-09-21T20:51:39.948226+00:00
LM_03_KGC_20150905_CS_3704_3746,2026-09-21T20:51:39.948226+00:00
LM_03_KGC_20150906_CS_3682_3702,2026-09-21T20:51:39.948226+00:00
LM_03_KGC_20150907_CS_3660_3680,2026-09-21T20:51:39.948226+00:00
LM_02_GCG_20150903_CS_3614_3660,2026-09-21T20:51:39.948226+00:00
LM_02_GCG_20150904_CS_3562_3612,2026-09-21T20:51:39.948226+00:00
LM_02_GCG_20150905_CS_3502_3560,2026-09-21T20:51:39.948226+00:00
LM_02_GCG_20150906_CS_3454_3504,2026-09-21T20:51:39.948226+00:00
LM_01_GCB_20150908_CS_3226_3280,2026-09-21T20:51:39.948226+00:00
LM_15_CVB_20160510_CS_6138_6170,2026-09-21T21:19:48.175853+00:00
LM_15_CVB_20160511_CS_6102_6136,2026-09-21T21:19:48.175853+00:00
LM_15_CVB_20160512_CS_6072_6100,2026-09-21T21:19:48.175853+00:00
LM_15_CVB_20160513_CS_6030_6070,2026-09-21T21:19:48.175853+00:00
LM_15_CVB_20160514_CS_6000_6028,2026-09-21T21:19:48.175853+00:00
LM_15_CVB_20160426_CS_MB_5998_6000,2026-09-21T21:19:48.175853+00:00
LM_15_CVB_20160426_CS_MB_5993_5998,2026-09-21T21:19:48.175853+00:00
LM_15_CVB_20160427_CS_MB_5988_5993,2026-09-21T21:19:48.175853+00:00
LM_15_CVB_20160427_CS_MB_5983_5988,2026-09-21T21:19:48.175853+00:00
LM_15_CVB_20160427_CS_MB_5978_5983,2026-09-21T21:19:48.175853+00:00
LM_15_CVB_20160428_CS_MB_5973_5978,2026-09-21T21:19:48.175853+00:00
LM_15_CVB_20160428_CS_MB_5968_5973,2026-09-21T21:19:48.175853+00:00
LM_15_CVB_20160429_CS_MB_5963_5968,2026-09-21T21:19:48.175853+00:00
LM_15_CVB_20160429_CS_MB_5958_5963,2026-09-21T21:19:48.175853+00:00
LM_15_CVB_20160430_CS_MB_5953_5958,2026-09-21T21:19:48.175853+00:00
LM_15_CVB_20160501_CS_MB_5948_5953,2026-09-21T21:19:48.175853+00:00
LM_15_CVB_20160502_CS_MB_5943_5948,2026-09-21T21:19:48.175853+00:00
LM_15_CVB_20160503_CS_MB_5938_5943,2026-09-21T21:19:48.175853+00:00
LM_14_VBO_20160530_CS_5898_5938,2026-09-21T21:19:48.175853+00:00
LM_14_VBO_20160531_CS_5852_5896,2026-09-21T21:19:48.175853+00:00
LM_14_VBO_20160601_CS_5810_5850,2026-09-21T21:19:48.175853+00:00
LM_13_OZE_20160610_CS_5776_5810,2026-09-21T21:19:48.175853+00:00
LM_13_OZE_20160611_CS_5734_5774,2026-09-21T21:19:48.175853+00:00
LM_13_OZE_20160612_CS_5714_5732,2026-09-21T21:19:48.175853+00:00
LM_13_OZE_20160613_CS_5658_5712,2026-09-21T21:19:48.175853+00:00
LM_12_EYB_20160614_CS_5646_5658,2026-09-21T21:19:48.175853+00:00
LM_12_EYB_20160622_CS_5616_5644,2026-09-21T21:19:48.175853+00:00
LM_12_EYB_20160623_CS_5576_5614,2026-09-21T21:19:48.175853+00:00
LM_12_EYB_20160624_CS_5520_5574,2026-09-21T21:19:48.175853+00:00
LM_12_EYB_20160625_CS_5502_5518,2026-09-21T21:19:48.175853+00:00
LM_11_YBS_20160705_CS_5451_5502,2026-09-21T21:19:48.175853+00:00
LM_11_YBS_20160706_CS_5414_5450,2026-09-21T21:19:48.175853+00:00
LM_11_YBS_20160707_CS_5400_5412,2026-09-21T21:19:48.175853+00:00
LM_11_YBS_20160712_CS_5368_5398,2026-09-21T21:19:48.175853+00:00
