ahp_mile,navd88_ft
864.9,242.3
864.8,242.3
864.7,242.1
864.6,242.1
864.5,242.01
864.4,241.91
864.3,241.91
864.2,241.91
864.1,241.9
864.0,241.9
863.9,241.8
863.8,241.8
863.7,241.8
863.6,241.8
863.5,241.8
863.4,241.8
863.3,241.8
863.2,241.8
863.1,241.79
863.0,241.79
862.9,241.79
862.8,241.79
862.7,241.79
862.6,241.79
862.5,241.79
862.4,241.79
862.3,241.79
862.2,241.78
862.1,241.7
862.0,241.7
861.9,241.7
861.8,241.7
861.7,241.7
861.6,241.7
861.5,241.69
861.4,241.6
861.3,241.6
861.2,241.6
861.1,241.6
861.0,241.6
860.9,241.51
860.8,241.5
860.7,241.5
860.6,241.5
860.5,241.5
860.4,241.5
860.3,241.3
860.2,241.3
860.1,241.3
860.0,241.1
859.9,241.09
859.8,241.0
859.7,241.0
859.6,241.0
859.5,241.0
859.4,241.0
859.3,241.0
859.2,241.0
859.1,240.9
859.0,240.9
858.9,240.6
858.8,240.6
858.7,240.6
858.6,240.5
858.5,240.4
858.4,239.9
858.3,239.9
858.2,239.9
858.1,239.9
858.0,239.9
857.9,239.9
857.8,239.9
857.7,239.9
857.6,239.9
857.5,239.9
857.4,239.9
857.3,239.9
857.2,239.9
857.1,239.9
857.0,239.9
856.9,239.9
856.8,239.9
856.7,239.9
856.6,239.9
856.5,239.9
856.4,239.9
856.3,239.9
856.2,239.8
856.1,239.8
856.0,239.8
855.9,239.8
855.8,239.8
855.7,239.8
855.6,239.8
855.5,239.8
855.4,239.8
855.3,239.8
855.2,239.8
855.1,239.8
855.0,239.8
854.9,239.8
854.8,239.8
854.7,239.8
854.6,239.8
854.5,239.8
854.4,239.8
854.3,239.8
854.2,239.8
854.1,239.8
854.0,239.8
853.9,239.8
853.8,239.8
853.7,239.7
853.6,239.7
853.5,239.7
853.4,239.6
853.3,239.6
853.2,239.5
853.1,239.5
853.0,239.5
852.9,239.5
852.8,239.4
852.7,239.4
852.6,239.4
852.5,239.2
852.4,239.2
852.3,239.2
852.2,239.2
852.1,239.0
852.0,239.0
851.9,239.0
851.8,239.0
851.7,239.0
851.6,239.0
851.5,239.0
851.4,239.0
851.3,239.0
851.2,239.0
851.1,239.0
851.0,238.9
850.9,238.9
850.8,238.9
850.7,238.9
850.6,238.9
850.5,238.9
850.4,238.9
850.3,238.9
850.2,238.9
850.1,238.6
850.0,238.4
849.9,238.4
849.8,238.4
849.7,238.4
849.6,238.4
849.5,238.4
849.4,238.4
849.3,238.4
849.2,238.4
849.1,238.4
849.0,238.39
848.9,238.39
848.8,238.3
848.7,238.2
848.6,238.2
848.5,238.0
848.4,238.0
848.3,237.91
848.2,237.9
848.1,237.9
848.0,237.9
847.9,237.9
847.8,237.9
847.7,237.9
847.6,237.9
847.5,237.89
847.4,237.89
847.3,237.89
847.2,237.89
847.1,237.89
847.0,237.89
846.9,237.88
846.8,237.88
846.7,237.88
846.6,237.8
846.5,237.8
846.4,237.8
846.3,237.8
846.2,237.7
846.1,237.6
846.0,237.6
845.9,237.5
845.8,237.5
845.7,237.5
845.6,237.4
845.5,237.4
845.4,237.3
845.3,237.3
845.2,237.3
845.1,237.3
845.0,237.3
844.9,237.2
844.8,237.1
844.7,237.0
844.6,237.0
844.5,237.0
844.4,237.0
844.3,237.0
844.2,237.0
844.1,236.8
844.0,236.8
843.9,236.7
843.8,236.7
843.7,236.5
843.6,236.3
843.5,236.3
843.4,236.1
843.3,235.9
843.2,235.8
843.1,235.8
843.0,235.8
842.9,235.7
842.8,235.6
842.7,235.5
842.6,234.9
842.5,234.9
842.4,234.7
842.3,234.5
842.2,234.4
842.1,234.4
842.0,234.4
841.9,234.2
841.8,234.2
841.7,234.0
841.6,234.0
841.5,234.0
841.4,233.7
841.3,233.6
841.2,233.3
841.1,233.1
841.0,232.9
840.9,232.9
840.8,232.8
840.7,232.79
840.6,232.2
840.5,232.1
840.4,231.8
840.3,231.7
840.2,231.7
840.1,231.4
840.0,231.3
839.9,231.1
839.8,231.1
839.7,231.1
839.6,231.1
839.5,231.0
839.4,231.0
839.3,231.0
839.2,230.9
839.1,230.8
839.0,230.8
838.9,230.8
838.8,230.7
838.7,230.6
838.6,230.5
838.5,230.5
838.4,230.5
838.3,230.5
838.2,230.5
838.1,230.5
838.0,230.4
837.9,230.4
837.8,230.4
837.7,230.3
837.6,230.3
837.5,230.2
837.4,230.2
837.3,230.1
837.2,230.1
837.1,230.1
837.0,230.0
836.9,230.0
836.8,229.9
836.7,229.8
836.6,229.8
836.5,229.5
836.4,229.5
836.3,229.4
836.2,229.4
836.1,229.4
836.0,229.3
835.9,229.2
835.8,229.2
835.7,229.0
835.6,229.0
835.5,229.0
835.4,229.0
835.3,229.0
835.2,228.9
835.1,228.8
835.0,228.8
834.9,228.7
834.8,228.5
834.7,228.5
834.6,228.5
834.5,228.5
834.4,228.4
834.3,228.4
834.2,228.4
834.1,228.4
834.0,228.3
833.9,228.3
833.8,228.2
833.7,228.2
833.6,228.2
833.5,228.2
833.4,228.1
833.3,228.1
833.2,228.09
833.1,228.0
833.0,228.0
832.9,228.0
832.8,227.9
832.7,227.8
832.6,227.8
832.5,227.8
832.4,227.8
832.3,227.8
832.2,227.8
832.1,227.8
832.0,227.6
831.9,227.6
831.8,227.59
831.7,227.5
831.6,227.5
831.5,227.5
831.4,227.5
831.3,227.3
831.2,227.3
831.1,227.1
831.0,226.8
830.9,226.8
830.8,226.7
830.7,226.7
830.6,226.6
830.5,226.6
830.4,226.6
830.3,226.5
830.2,226.5
830.1,226.4
830.0,226.3
829.9,226.1
829.8,226.1
829.7,226.1
829.6,226.1
829.5,226.1
829.4,226.1
829.3,226.1
829.2,226.1
829.1,225.9
829.0,225.9
828.9,225.9
828.8,225.9
828.7,225.8
828.6,225.7
828.5,225.7
828.4,225.7
828.3,225.7
828.2,225.7
828.1,225.6
828.0,225.6
827.9,225.5
827.8,225.5
827.7,225.5
827.6,225.4
827.5,225.3
827.4,225.3
827.3,225.3
827.2,225.3
827.1,225.2
827.0,225.2
826.9,225.2
826.8,225.1
826.7,225.1
826.6,225.1
826.5,225.0
826.4,225.0
826.3,225.0
826.2,225.0
826.1,225.0
826.0,224.9
825.9,224.9
825.8,224.9
825.7,224.9
825.6,224.9
825.5,224.9
825.4,224.8
825.3,224.8
825.2,224.7
825.1,224.7
825.0,224.7
824.9,224.6
824.8,224.6
824.7,224.6
824.6,224.6
824.5,224.6
824.4,224.5
824.3,224.5
824.2,224.5
824.1,224.5
824.0,224.5
823.9,224.5
823.8,224.4
823.7,224.39
823.6,224.39
823.5,224.39
823.4,224.39
823.3,224.39
823.2,224.39
823.1,224.39
823.0,224.38
822.9,224.38
822.8,224.38
822.7,224.38
822.6,224.3
822.5,224.3
822.4,224.29
822.3,224.29
822.2,224.29
822.1,224.29
822.0,224.29
821.9,224.2
821.8,224.2
821.7,224.1
821.6,224.0
821.5,224.0
821.4,224.0
821.3,223.9
821.2,223.89
821.1,223.89
821.0,223.8
820.9,223.79
820.8,223.79
820.7,223.7
820.6,223.6
820.5,223.5
820.4,223.4
820.3,223.3
820.2,223.0
820.1,223.0
820.0,222.9
819.9,222.7
819.8,222.6
819.7,222.5
819.6,222.4
819.5,222.3
819.4,222.3
819.3,222.29
819.2,222.29
819.1,222.2
819.0,222.1
818.9,222.1
818.8,222.1
818.7,222.1
818.6,222.1
818.5,222.0
818.4,222.0
818.3,222.0
818.2,222.0
818.1,222.0
818.0,222.0
817.9,222.0
817.8,222.0
817.7,221.9
817.6,221.8
817.5,221.8
817.4,221.7
817.3,221.7
817.2,221.6
