MileMarker,thresh_el,LAT,LON
515.0,72.47129713248698,33.110517,-91.148812
516.0,73.30874298802318,33.113704,-91.132058
517.0,74.15549379750979,33.115422,-91.115358
518.0,74.99293965304601,33.121679,-91.099675
519.0,75.73733596907819,33.133279,-91.089633
520.0,76.74227099572164,33.14748,-91.08443
521.0,77.30987318669618,33.16202,-91.08225
522.0,77.72859611446428,33.17649,-91.08173
523.0,78.11009922643078,33.19068,-91.0852
524.0,78.42646766074446,33.2043,-91.09127
525.0,78.84519058851257,33.2174,-91.09898
526.0,79.26391351628068,33.23029,-91.10746
527.0,79.81290579935441,33.24282,-91.11597
528.0,80.25954358897371,33.25516,-91.12457
529.0,80.67826651674183,33.26683,-91.13464
530.0,81.24586870771637,33.27815,-91.14563
531.0,81.66459163548447,33.28925,-91.15674
532.0,82.19148246417674,33.30052,-91.16747
533.0,82.74836789547962,33.31408,-91.17284
534.0,83.30525332678249,33.32693,-91.16505
535.0,84.06014246699304,33.3373,-91.15326
536.0,84.61702789829592,33.34784,-91.14134
537.0,85.1862885614055,33.35888,-91.13025
538.0,85.80505015174202,33.37031,-91.11946
539.0,86.49806313291893,33.38186,-91.10939
540.0,87.0549485642218,33.3963,-91.10973
541.0,87.7479615453987,33.41084,-91.11114
542.0,88.21822035405445,33.42523,-91.11294
543.0,88.91123333523136,33.43961,-91.11492
544.0,89.49286923014768,33.45378,-91.1191
545.0,90.04975466145055,33.46669,-91.12683
546.0,90.61901532456014,33.47815,-91.13746
547.0,91.37390446477069,33.488,-91.15002
548.0,91.93078989607356,33.49653,-91.1642
549.0,92.30204685027547,33.50469,-91.17837
550.0,92.78468089073796,33.51283,-91.19264
551.0,93.18068830855334,33.5215,-91.20653
552.0,93.18068830855334,33.53157,-91.21886
553.0,93.37869201746102,33.54396,-91.22757
554.0,93.56432049456197,33.55775,-91.23252
555.0,93.56432049456197,33.5679,-91.22174
556.0,93.87432049456197,33.56822,-91.2046
557.0,93.97432049456198,33.56795,-91.18731
558.0,94.42432049456197,33.5703,-91.17031
559.0,94.87432049456197,33.57731,-91.1552
560.0,95.32432049456197,33.58752,-91.143
561.0,95.80432049456198,33.59904,-91.13253
562.0,96.39432049456198,33.61331,-91.13067
563.0,96.86432049456198,33.62663,-91.1371
564.0,97.44432049456198,33.6356,-91.15057
565.0,97.01432049456197,33.644,-91.16474
566.0,97.01432049456197,33.65221,-91.17892
567.0,97.48432049456197,33.65686,-91.19527
568.0,97.48432049456197,33.65983,-91.21225
569.0,97.95432049456197,33.66943,-91.22485
570.0,97.95432049456197,33.68353,-91.22771
571.0,98.42432049456197,33.69535,-91.21881
572.0,98.42432049456197,33.70087,-91.2029
573.0,98.89432049456198,33.70172,-91.18549
574.0,98.89432049456198,33.70436,-91.16853
575.0,99.04432049456197,33.71281,-91.15482
576.0,99.04432049456197,33.72599,-91.14803
577.0,99.27432049456198,33.74025,-91.14511
578.0,99.67432049456197,33.75336,-91.13778
579.0,100.01432049456197,33.76437,-91.12641
580.0,99.0626191029086,33.77076,-91.11105
581.0,99.0626191029086,33.77296,-91.09388
582.0,99.37261910290859,33.77515,-91.0768
583.0,99.37261910290859,33.77791,-91.0598
584.0,99.6926191029086,33.78514,-91.04507
585.0,99.6926191029086,33.79917,-91.04385
586.0,99.84044486435717,33.81321,-91.04858
587.0,100.01994757468758,33.82592,-91.05678
588.0,100.34727604646656,33.83839,-91.06554
589.0,100.34727604646656,33.85251,-91.06634
590.0,100.68516350120615,33.86641,-91.06127
591.0,100.68516350120615,33.8797,-91.05441
592.0,101.10752281963063,33.89112,-91.04379
593.0,101.65658993358247,33.90228,-91.03256
594.0,102.58578043411634,33.91409,-91.02257
595.0,103.52552991761083,33.92828,-91.01769
596.0,104.46527940110532,33.93914,-91.02956
597.0,105.42614685052102,33.94617,-91.045
598.0,106.59819395914899,33.95113,-91.06142
599.0,106.98887632869165,33.95584,-91.07796
600.0,107.81247699961939,33.967108,-91.08517
601.0,108.29819021580755,33.98012,-91.07742
602.0,108.78390343199572,33.98841,-91.06355
603.0,109.22738071634143,33.99269,-91.04699
